XL,A,C,G,S,U,P,loss,nt,label,mass,round_4digits,1+,round_1+,simp_label,methyl_1+,fluoro_1+,azido_1+
S,1,1,0,0,0,3,_H2S_H2O,3.0,SAC+3P-H2S-H2O,922.108554,922.1086,923.116379,923.1164,XAC+3P,965.1633290000001,977.088113,1046.12057
S,1,0,0,0,1,3,_H2S_H2O,3.0,SAU+3P-H2S-H2O,923.09257,923.0926,924.100395,924.1004,XAU+3P,966.1473450000001,978.072129,1047.104586
S,0,0,0,2,0,3,_H2S_H2O,3.0,SSS+3P-H2S-H2O,932.019667,932.0197,933.027492,933.0275,XSS+3P,975.0744420000001,986.999226,1056.0316830000002
S,0,1,0,1,0,3,_H2S,3.0,SCS+3P-H2S,933.069059,933.0691,934.076884,934.0769,XCS+3P,976.123834,988.0486179999999,1057.081075
S,0,0,0,1,1,3,_H2S,3.0,SSU+3P-H2S,934.053075,934.0531,935.0609,935.0609,XSU+3P,977.10785,989.0326339999999,1058.065091
S,0,1,1,0,0,3,_H2S_H2O,3.0,SCG+3P-H2S-H2O,938.103469,938.1035,939.111294,939.1113,XCG+3P,981.1582440000001,993.083028,1062.115485
S,1,0,0,1,0,3,_H2S_H2O,3.0,SAS+3P-H2S-H2O,939.069727,939.0697,940.077552,940.0776,XAS+3P,982.124502,994.0492859999999,1063.081743
S,0,0,1,0,1,3,_H2S_H2O,3.0,SGU+3P-H2S-H2O,939.087485,939.0875,940.09531,940.0953,XGU+3P,982.1422600000001,994.067044,1063.0995010000001
S,1,1,0,0,0,3,_H2S,3.0,SAC+3P-H2S,940.119119,940.1191,941.126944,941.1269,XAC+3P,983.173894,995.098678,1064.131135
S,1,0,0,0,1,3,_H2S,3.0,SAU+3P-H2S,941.103135,941.1031,942.11096,942.111,XAU+3P,984.15791,996.082694,1065.115151
S,2,0,0,0,0,3,_H2S_H2O,3.0,SAA+3P-H2S-H2O,946.119787,946.1198,947.127612,947.1276,XAA+3P,989.174562,1001.099346,1070.131803
S,0,0,0,2,0,3,_H2S,3.0,SSS+3P-H2S,950.030232,950.0302,951.038057,951.0381,XSS+3P,993.085007,1005.009791,1074.042248
S,0,0,1,1,0,3,_H2S_H2O,3.0,SGS+3P-H2S-H2O,955.064642,955.0646,956.072467,956.0725,XGS+3P,998.119417,1010.0442009999999,1079.076658
S,0,1,1,0,0,3,_H2S,3.0,SCG+3P-H2S,956.114034,956.114,957.121859,957.1219,XCG+3P,999.168809,1011.0935929999999,1080.1260499999999
S,1,0,0,1,0,3,_H2S,3.0,SAS+3P-H2S,957.080292,957.0803,958.088117,958.0881,XAS+3P,1000.135067,1012.059851,1081.092308
S,0,0,1,0,1,3,_H2S,3.0,SGU+3P-H2S,957.09805,957.0981,958.105875,958.1059,XGU+3P,1000.152825,1012.0776089999999,1081.110066
S,1,0,1,0,0,3,_H2S_H2O,3.0,SAG+3P-H2S-H2O,962.114702,962.1147,963.122527,963.1225,XAG+3P,1005.169477,1017.094261,1086.126718
