XL,A,C,G,S,U,P,loss,nt,label,mass,round_4digits,1+,round_1+,simp_label
S,0,0,0,1,1,4,_H2S_H2O,3.0,SSU+4P-H2S-H2O,996.008843,996.0088,997.016668,997.0167,XSU+4P
S,0,2,0,0,0,4,_H2S,3.0,SCC+4P-H2S,996.074219,996.0742,997.082044,997.082,XCC+4P
S,0,0,2,0,0,3,_H2S,3.0,SGG+3P-H2S,996.120182,996.1202,997.128007,997.128,XGG+3P
S,0,1,0,0,1,4,_H2S,3.0,SCU+4P-H2S,997.058235,997.0582,998.06606,998.0661,XCU+4P
S,0,0,0,0,2,4,_H2S,3.0,SUU+4P-H2S,998.042251,998.0423,999.050076,999.0501,XUU+4P
S,1,1,0,0,0,4,_H2S_H2O,3.0,SAC+4P-H2S-H2O,1002.074887,1002.0749,1003.082712,1003.0827,XAC+4P
S,1,0,0,0,1,4,_H2S_H2O,3.0,SAU+4P-H2S-H2O,1003.058903,1003.0589,1004.066728,1004.0667,XAU+4P
S,0,0,0,2,0,4,_H2S_H2O,3.0,SSS+4P-H2S-H2O,1011.986,1011.986,1012.993825,1012.9938,XSS+4P
S,0,1,0,1,0,4,_H2S,3.0,SCS+4P-H2S,1013.035392,1013.0354,1014.043217,1014.0432,XCS+4P
S,0,0,0,1,1,4,_H2S,3.0,SSU+4P-H2S,1014.019408,1014.0194,1015.027233,1015.0272,XSU+4P
S,0,1,1,0,0,4,_H2S_H2O,3.0,SCG+4P-H2S-H2O,1018.069802,1018.0698,1019.077627,1019.0776,XCG+4P
S,1,0,0,1,0,4,_H2S_H2O,3.0,SAS+4P-H2S-H2O,1019.03606,1019.0361,1020.043885,1020.0439,XAS+4P
S,0,0,1,0,1,4,_H2S_H2O,3.0,SGU+4P-H2S-H2O,1019.053818,1019.0538,1020.061643,1020.0616,XGU+4P
S,1,1,0,0,0,4,_H2S,3.0,SAC+4P-H2S,1020.085452,1020.0855,1021.093277,1021.0933,XAC+4P
S,1,0,0,0,1,4,_H2S,3.0,SAU+4P-H2S,1021.069468,1021.0695,1022.077293,1022.0773,XAU+4P
S,2,0,0,0,0,4,_H2S_H2O,3.0,SAA+4P-H2S-H2O,1026.08612,1026.0861,1027.0939449999998,1027.0939,XAA+4P
S,0,0,0,2,0,4,_H2S,3.0,SSS+4P-H2S,1029.996565,1029.9966,1031.0043899999998,1031.0044,XSS+4P
S,0,0,1,1,0,4,_H2S_H2O,3.0,SGS+4P-H2S-H2O,1035.030975,1035.031,1036.0387999999998,1036.0388,XGS+4P
S,0,1,1,0,0,4,_H2S,3.0,SCG+4P-H2S,1036.080367,1036.0804,1037.088192,1037.0882,XCG+4P
S,1,0,0,1,0,4,_H2S,3.0,SAS+4P-H2S,1037.046625,1037.0466,1038.05445,1038.0544,XAS+4P
S,0,0,1,0,1,4,_H2S,3.0,SGU+4P-H2S,1037.064383,1037.0644,1038.0722079999998,1038.0722,XGU+4P
S,1,0,1,0,0,4,_H2S_H2O,3.0,SAG+4P-H2S-H2O,1042.081035,1042.081,1043.0888599999998,1043.0889,XAG+4P
S,2,0,0,0,0,4,_H2S,3.0,SAA+4P-H2S,1044.096685,1044.0967,1045.10451,1045.1045,XAA+4P
S,0,0,1,1,0,4,_H2S,3.0,SGS+4P-H2S,1053.04154,1053.0415,1054.049365,1054.0494,XGS+4P
S,0,0,2,0,0,4,_H2S_H2O,3.0,SGG+4P-H2S-H2O,1058.07595,1058.076,1059.0837749999998,1059.0838,XGG+4P
S,1,0,1,0,0,4,_H2S,3.0,SAG+4P-H2S,1060.0916,1060.0916,1061.099425,1061.0994,XAG+4P
S,0,0,2,0,0,4,_H2S,3.0,SGG+4P-H2S,1076.086515,1076.0865,1077.09434,1077.0943,XGG+4P
S,0,3,0,0,0,3,_H2S_H2O,4.0,SCCC+3P-H2S-H2O,1123.172278,1123.1723,1124.180103,1124.1801,XCCC+3P
S,0,2,0,0,1,3,_H2S_H2O,4.0,SCCU+3P-H2S-H2O,1124.156294,1124.1563,1125.1641189999998,1125.1641,XCCU+3P
S,0,1,0,0,2,3,_H2S_H2O,4.0,SCUU+3P-H2S-H2O,1125.14031,1125.1403,1126.148135,1126.1481,XCUU+3P
S,0,0,0,0,3,3,_H2S_H2O,4.0,SUUU+3P-H2S-H2O,1126.124326,1126.1243,1127.132151,1127.1322,XUUU+3P
S,0,2,0,1,0,3,_H2S_H2O,4.0,SCCS+3P-H2S-H2O,1140.133451,1140.1335,1141.1412759999998,1141.1413,XCCS+3P
S,0,1,0,1,1,3,_H2S_H2O,4.0,SCSU+3P-H2S-H2O,1141.117467,1141.1175,1142.125292,1142.1253,XCSU+3P
S,0,3,0,0,0,3,_H2S,4.0,SCCC+3P-H2S,1141.182843,1141.1828,1142.190668,1142.1907,XCCC+3P
